GEOHASH,LAT1,LONG1,LAT2,LONG2,LAT3,LONG3,LAT4,LONG4,COUNT
dnv89ww,38.0923461914,-82.1900939941,38.0923461914,-82.1914672852,38.0937194824,-82.1900939941,38.0937194824,-82.1914672852,10
dnv89z5,38.0950927734,-82.1832275391,38.0950927734,-82.1846008301,38.0964660645,-82.1832275391,38.0964660645,-82.1846008301,10
dnv89z7,38.0964660645,-82.1832275391,38.0964660645,-82.1846008301,38.0978393555,-82.1832275391,38.0978393555,-82.1846008301,10
dnv89yf,38.0937194824,-82.1846008301,38.0937194824,-82.1859741211,38.0950927734,-82.1846008301,38.0950927734,-82.1859741211,9
dnv89jd,38.0868530273,-82.2175598145,38.0868530273,-82.2189331055,38.0882263184,-82.2175598145,38.0882263184,-82.2189331055,9
dnv89zu,38.0992126465,-82.181854248,38.0992126465,-82.1832275391,38.1005859375,-82.181854248,38.1005859375,-82.1832275391,9
dnv8cbj,38.1005859375,-82.180480957,38.1005859375,-82.181854248,38.1019592285,-82.180480957,38.1019592285,-82.181854248,9
dnv89tv,38.0882263184,-82.1914672852,38.0882263184,-82.1928405762,38.0895996094,-82.1914672852,38.0895996094,-82.1928405762,9
dnv89me,38.0868530273,-82.2052001953,38.0868530273,-82.2065734863,38.0882263184,-82.2052001953,38.0882263184,-82.2065734863,9
dnv88ve,38.0868530273,-82.2271728516,38.0868530273,-82.2285461426,38.0882263184,-82.2271728516,38.0882263184,-82.2285461426,9
dnv89ms,38.0868530273,-82.2038269043,38.0868530273,-82.2052001953,38.0882263184,-82.2038269043,38.0882263184,-82.2052001953,9
dnv88vb,38.0882263184,-82.2312927246,38.0882263184,-82.2326660156,38.0895996094,-82.2312927246,38.0895996094,-82.2326660156,9
dnv89xp,38.0950927734,-82.1887207031,38.0950927734,-82.1900939941,38.0964660645,-82.1887207031,38.0964660645,-82.1900939941,9
dnv89mc,38.0882263184,-82.2079467773,38.0882263184,-82.2093200684,38.0895996094,-82.2079467773,38.0895996094,-82.2093200684,8
dnv89te,38.0868530273,-82.1942138672,38.0868530273,-82.1955871582,38.0882263184,-82.1942138672,38.0882263184,-82.1955871582,8
dnv89jz,38.0882263184,-82.2106933594,38.0882263184,-82.2120666504,38.0895996094,-82.2106933594,38.0895996094,-82.2120666504,8
dnv89jv,38.0882263184,-82.2134399414,38.0882263184,-82.2148132324,38.0895996094,-82.2134399414,38.0895996094,-82.2148132324,8
dnv89t9,38.0868530273,-82.1969604492,38.0868530273,-82.1983337402,38.0882263184,-82.1969604492,38.0882263184,-82.1983337402,8
dnv89ju,38.0882263184,-82.2148132324,38.0882263184,-82.2161865234,38.0895996094,-82.2148132324,38.0895996094,-82.2161865234,8
dnv8f08,38.1033325195,-82.176361084,38.1033325195,-82.177734375,38.1047058105,-82.176361084,38.1047058105,-82.177734375,8
dnv89mx,38.0868530273,-82.1997070312,38.0868530273,-82.2010803223,38.0882263184,-82.1997070312,38.0882263184,-82.2010803223,8
dnv89zs,38.0978393555,-82.181854248,38.0978393555,-82.1832275391,38.0992126465,-82.181854248,38.0992126465,-82.1832275391,8
dnv88wj,38.0895996094,-82.2354125977,38.0895996094,-82.2367858887,38.0909729004,-82.2354125977,38.0909729004,-82.2367858887,8
dnv88vx,38.0868530273,-82.2216796875,38.0868530273,-82.2230529785,38.0882263184,-82.2216796875,38.0882263184,-82.2230529785,8
dnv88vw,38.0868530273,-82.2230529785,38.0868530273,-82.2244262695,38.0882263184,-82.2230529785,38.0882263184,-82.2244262695,8
dnv88vt,38.0868530273,-82.2244262695,38.0868530273,-82.2257995605,38.0882263184,-82.2244262695,38.0882263184,-82.2257995605,8
dnv88vd,38.0868530273,-82.2285461426,38.0868530273,-82.2299194336,38.0882263184,-82.2285461426,38.0882263184,-82.2299194336,8
dnv8cbr,38.1019592285,-82.177734375,38.1019592285,-82.179107666,38.1033325195,-82.177734375,38.1033325195,-82.179107666,8
dnv89mw,38.0868530273,-82.2010803223,38.0868530273,-82.2024536133,38.0882263184,-82.2010803223,38.0882263184,-82.2024536133,8
dnv89wz,38.0937194824,-82.1887207031,38.0937194824,-82.1900939941,38.0950927734,-82.1887207031,38.0950927734,-82.1900939941,7
dnv89z0,38.0950927734,-82.1873474121,38.0950927734,-82.1887207031,38.0964660645,-82.1873474121,38.0964660645,-82.1887207031,7
dnv89wk,38.0909729004,-82.1928405762,38.0909729004,-82.1942138672,38.0923461914,-82.1928405762,38.0923461914,-82.1942138672,7
dnv8cbq,38.1019592285,-82.179107666,38.1019592285,-82.180480957,38.1033325195,-82.179107666,38.1033325195,-82.180480957,7
dnv89td,38.0868530273,-82.1955871582,38.0868530273,-82.1969604492,38.0882263184,-82.1955871582,38.0882263184,-82.1969604492,7
dnv89t8,38.0868530273,-82.1983337402,38.0868530273,-82.1997070312,38.0882263184,-82.1983337402,38.0882263184,-82.1997070312,7
dnv88vs,38.0868530273,-82.2257995605,38.0868530273,-82.2271728516,38.0882263184,-82.2257995605,38.0882263184,-82.2271728516,7
dnv89jy,38.0882263184,-82.2120666504,38.0882263184,-82.2134399414,38.0895996094,-82.2120666504,38.0895996094,-82.2134399414,7
dnv88vc,38.0882263184,-82.2299194336,38.0882263184,-82.2312927246,38.0895996094,-82.2299194336,38.0895996094,-82.2312927246,7
dnv89j3,38.0854797363,-82.2189331055,38.0854797363,-82.2203063965,38.0868530273,-82.2189331055,38.0868530273,-82.2203063965,7
dnv88wn,38.0895996094,-82.2340393066,38.0895996094,-82.2354125977,38.0909729004,-82.2340393066,38.0909729004,-82.2354125977,7
dnv88wh,38.0895996094,-82.2367858887,38.0895996094,-82.2381591797,38.0909729004,-82.2367858887,38.0909729004,-82.2381591797,7
dnv89mb,38.0882263184,-82.2093200684,38.0882263184,-82.2106933594,38.0895996094,-82.2093200684,38.0895996094,-82.2106933594,7
dnv89mt,38.0868530273,-82.2024536133,38.0868530273,-82.2038269043,38.0882263184,-82.2024536133,38.0882263184,-82.2038269043,7
dnv89je,38.0868530273,-82.2161865234,38.0868530273,-82.2175598145,38.0882263184,-82.2161865234,38.0882263184,-82.2175598145,7
dnv89yc,38.0937194824,-82.1859741211,38.0937194824,-82.1873474121,38.0950927734,-82.1859741211,38.0950927734,-82.1873474121,6
dnv89wj,38.0895996094,-82.1914672852,38.0895996094,-82.1928405762,38.0909729004,-82.1914672852,38.0909729004,-82.1928405762,6
dnv89md,38.0868530273,-82.2065734863,38.0868530273,-82.2079467773,38.0882263184,-82.2065734863,38.0882263184,-82.2079467773,6
dnv89j2,38.0854797363,-82.2203063965,38.0854797363,-82.2216796875,38.0868530273,-82.2203063965,38.0868530273,-82.2216796875,6
dnv89wm,38.0909729004,-82.1914672852,38.0909729004,-82.1928405762,38.0923461914,-82.1914672852,38.0923461914,-82.1928405762,5
dnv88wp,38.0895996094,-82.2326660156,38.0895996094,-82.2340393066,38.0909729004,-82.2326660156,38.0909729004,-82.2340393066,5
dnv89wh,38.0895996094,-82.1928405762,38.0895996094,-82.1942138672,38.0909729004,-82.1928405762,38.0909729004,-82.1942138672,5
dnv89z1,38.0950927734,-82.1859741211,38.0950927734,-82.1873474121,38.0964660645,-82.1859741211,38.0964660645,-82.1873474121,5
dnv89wt,38.0923461914,-82.1914672852,38.0923461914,-82.1928405762,38.0937194824,-82.1914672852,38.0937194824,-82.1928405762,4
dnv8cbn,38.1005859375,-82.179107666,38.1005859375,-82.180480957,38.1019592285,-82.179107666,38.1019592285,-82.180480957,4
dnv89xr,38.0964660645,-82.1887207031,38.0964660645,-82.1900939941,38.0978393555,-82.1887207031,38.0978393555,-82.1900939941,4
dnv89tu,38.0882263184,-82.1928405762,38.0882263184,-82.1942138672,38.0895996094,-82.1928405762,38.0895996094,-82.1942138672,4
dnv89ts,38.0868530273,-82.1928405762,38.0868530273,-82.1942138672,38.0882263184,-82.1928405762,38.0882263184,-82.1942138672,4
dnv89z2,38.0964660645,-82.1873474121,38.0964660645,-82.1887207031,38.0978393555,-82.1873474121,38.0978393555,-82.1887207031,4
dnv88w5,38.0895996094,-82.2381591797,38.0895996094,-82.2395324707,38.0909729004,-82.2381591797,38.0909729004,-82.2395324707,3
dnv88tz,38.0882263184,-82.2326660156,38.0882263184,-82.2340393066,38.0895996094,-82.2326660156,38.0895996094,-82.2340393066,3
dnv89wy,38.0937194824,-82.1900939941,38.0937194824,-82.1914672852,38.0950927734,-82.1900939941,38.0950927734,-82.1914672852,3
dnv89mf,38.0882263184,-82.2065734863,38.0882263184,-82.2079467773,38.0895996094,-82.2065734863,38.0895996094,-82.2079467773,3
dnv89ze,38.0978393555,-82.1832275391,38.0978393555,-82.1846008301,38.0992126465,-82.1832275391,38.0992126465,-82.1846008301,2
dnv89yg,38.0937194824,-82.1832275391,38.0937194824,-82.1846008301,38.0950927734,-82.1832275391,38.0950927734,-82.1846008301,2
dnv89zv,38.0992126465,-82.180480957,38.0992126465,-82.181854248,38.1005859375,-82.180480957,38.1005859375,-82.181854248,2
dnv89jg,38.0882263184,-82.2161865234,38.0882263184,-82.2175598145,38.0895996094,-82.2161865234,38.0895996094,-82.2175598145,2
dnv89j8,38.0868530273,-82.2203063965,38.0868530273,-82.2216796875,38.0882263184,-82.2203063965,38.0882263184,-82.2216796875,1
dnv89j9,38.0868530273,-82.2189331055,38.0868530273,-82.2203063965,38.0882263184,-82.2189331055,38.0882263184,-82.2203063965,1
dnv8cbx,38.1033325195,-82.177734375,38.1033325195,-82.179107666,38.1047058105,-82.177734375,38.1047058105,-82.179107666,1
dnv88v9,38.0868530273,-82.2299194336,38.0868530273,-82.2312927246,38.0882263184,-82.2299194336,38.0882263184,-82.2312927246,1
